,0
0,ELOVL5
1,FAM174B
2,IVD
3,SLC22A5
4,ANLN
5,GLIPR2
6,ANKRD42
7,CYBRD1
8,KIF20A
9,DLGAP5
10,KIF15
11,KIF23
12,BUB1
13,DIAPH3
14,ANKS6
15,LRTOMT
16,MAP7D3
17,MIR100HG
18,CHI3L1
19,INAVA
20,PGM1
21,BORCS7
22,IFRD1
23,PRC1
24,BUB1B
25,CDCA2
26,CENPF
27,CLSPN
28,E2F8
29,HMMR
30,MKI67
31,POLQ
32,RAD51AP1
33,ASPM
34,BLM
35,CDC25C
36,CENPE
37,CENPN
38,CHEK1
39,CKAP2L
40,DEPDC1B
41,FAM111B
42,FAM64A
43,FAM83D
44,FOXM1
45,KIAA1524
46,KIF14
47,LMNB1
48,NCAPH
49,RACGAP1
50,RBMS1
51,KIAA0020
52,LINC02693
53,RUNX3
54,ARL4C
55,CHST2
56,SCHIP1
57,ANXA8
58,KIAA1755
59,SERPINE2
60,CCDC74A
61,GRIK3
62,SEC14L2
63,SLC25A37
64,CHI3L2
65,FRZB
66,DHRS2
67,PAPSS1
68,KLHDC3
69,SYBU
70,JADE2
71,SLC40A1
72,PLAGL1
73,KRT5
74,KRT6B
75,SCARB1
76,AIF1L
77,ANKRD30A
78,TM9SF1
79,ANXA1
80,ELF5
81,EPHA2
82,ETV6
83,FAT2
84,NFIL3
85,TMEM25
86,ASTN2
87,CCNDBP1
88,CYB5D1
89,EZH1
90,MPV17L
91,PHYHD1
92,REEP6
93,SPDEF
94,ORMDL2
95,PRSS23
96,KHDRBS3
97,SLC16A1
98,RGMA
99,GLUL
100,ABCG1
101,CPA3
102,TMEM45B
103,CACNA1H
104,KCNMB1
105,TAGLN
106,CDIN1
107,CRYAB
108,MFI2
109,PDE9A
110,PM20D2
111,CDC6
112,CLCN5
113,ECE2
114,MTHFD1L
115,STARD3
116,MIEN1
117,CYB561D2
118,RND1
119,STARD10
120,NT5DC2
121,SAR1B
122,AMFR
123,MTL5
124,TTC8
125,COTL1
126,CXCL16
127,GBP1
128,LRRFIP1
129,MALL
130,NCK2
131,NFKBIE
132,NMT2
133,IL34
134,TTK
135,CDCA8
136,ERCC6L
137,GEN1
138,PARPBP
139,SKA3
140,CSRP2
141,HAPLN3
142,MOXD1
143,TYMS
144,ARHGAP11A
145,AURKA
146,BRIP1
147,CCNA2
148,CCNB2
149,CCNE1
150,CDC20
151,CDC25A
152,CDCA5
153,CENPO
154,CEP55
155,CIT
156,DEPDC1
157,DTL
158,EME1
159,ESPL1
160,EXO1
161,FAM72B
162,FANCA
163,FANCI
164,GINS1
165,GTSE1
166,HELLS
167,HJURP
168,HROB
169,IQGAP3
170,KIF11
171,KIF18A
172,KIF2C
173,KIF4A
174,MCM10
175,MCM6
176,MELK
177,NCAPG
178,NDC80
179,NEK2
180,NUSAP1
181,ORC1
182,PDSS1
183,PLK1
184,PLK4
185,PRR11
186,RRM2
187,SGOL1
188,SHCBP1
189,SPC25
190,STIL
